Logging output to klines_all_daily.log
[2025-09-07 12:07:52] - Received 5003 data points for 1.600035. Storing...
[2025-09-07 12:07:53] - Finished storing daily k-line data for 1.600035.
[2025-09-07 12:07:53] - Fetching daily k-line for 0.000900 (klt: 101)...
[2025-09-07 12:07:54] - Received 6195 data points for 0.000900. Storing...
[2025-09-07 12:07:55] - Finished storing daily k-line data for 0.000900.
[2025-09-07 12:07:55] - Fetching daily k-line for 1.600561 (klt: 101)...
[2025-09-07 12:08:12] - Received 5504 data points for 1.600561. Storing...
[2025-09-07 12:08:12] - Finished storing daily k-line data for 1.600561.
[2025-09-07 12:08:12] - Fetching daily k-line for 1.900903 (klt: 101)...
[2025-09-07 12:08:16] - Received 7863 data points for 1.900903. Storing...
[2025-09-07 12:08:17] - Finished storing daily k-line data for 1.900903.
[2025-09-07 12:08:17] - Fetching daily k-line for 0.000548 (klt: 101)...
[2025-09-07 12:08:20] - Received 7615 data points for 0.000548. Storing...
[2025-09-07 12:08:21] - Finished storing daily k-line data for 0.000548.
[2025-09-07 12:08:21] - Fetching daily k-line for 0.200429 (klt: 101)...
[2025-09-07 12:08:23] - Received 6742 data points for 0.200429. Storing...
[2025-09-07 12:08:24] - Finished storing daily k-line data for 0.200429.
[2025-09-07 12:08:24] - Fetching daily k-line for 0.001965 (klt: 101)...
[2025-09-07 12:08:27] - Received 1870 data points for 0.001965. Storing...
[2025-09-07 12:08:27] - Finished storing daily k-line data for 0.001965.
[2025-09-07 12:08:27] - Fetching daily k-line for 1.600020 (klt: 101)...
[2025-09-07 12:08:29] - Received 5283 data points for 1.600020. Storing...
[2025-09-07 12:08:29] - Finished storing daily k-line data for 1.600020.
[2025-09-07 12:08:29] - Fetching daily k-line for 1.600834 (klt: 101)...
[2025-09-07 12:08:38] - Received 7540 data points for 1.600834. Storing...
[2025-09-07 12:08:39] - Finished storing daily k-line data for 1.600834.
[2025-09-07 12:08:39] - Fetching daily k-line for 1.600368 (klt: 101)...
[2025-09-07 12:08:41] - Received 5917 data points for 1.600368. Storing...
[2025-09-07 12:08:42] - Finished storing daily k-line data for 1.600368.
[2025-09-07 12:08:42] - Fetching daily k-line for 1.600012 (klt: 101)...
[2025-09-07 12:08:44] - Received 5440 data points for 1.600012. Storing...
[2025-09-07 12:08:45] - Finished storing daily k-line data for 1.600012.
[2025-09-07 12:08:45] - Fetching daily k-line for 1.600106 (klt: 101)...
[2025-09-07 12:08:47] - Received 6678 data points for 1.600106. Storing...
[2025-09-07 12:08:47] - Finished storing daily k-line data for 1.600106.
[2025-09-07 12:08:47] - Fetching daily k-line for 1.600350 (klt: 101)...
[2025-09-07 12:08:49] - Received 5611 data points for 1.600350. Storing...
[2025-09-07 12:08:50] - Finished storing daily k-line data for 1.600350.
[2025-09-07 12:08:50] - Fetching daily k-line for 0.000429 (klt: 101)...
[2025-09-07 12:09:18] - Received 6406 data points for 0.000429. Storing...
[2025-09-07 12:09:18] - Finished storing daily k-line data for 0.000429.
[2025-09-07 12:09:18] - Fetching daily k-line for 1.601333 (klt: 101)...
[2025-09-07 12:09:23] - Received 4537 data points for 1.601333. Storing...
[2025-09-07 12:09:24] - Finished storing daily k-line data for 1.601333.
[2025-09-07 12:09:24] - Fetching daily k-line for 1.601816 (klt: 101)...
[2025-09-07 12:09:26] - Received 1368 data points for 1.601816. Storing...
[2025-09-07 12:09:26] - Finished storing daily k-line data for 1.601816.
[2025-09-07 12:09:26] - Fetching daily k-line for 1.605050 (klt: 101)...
[2025-09-07 12:09:28] - Received 1200 data points for 1.605050. Storing...
[2025-09-07 12:09:28] - Finished storing daily k-line data for 1.605050.
[2025-09-07 12:09:28] - Fetching daily k-line for 0.001317 (klt: 101)...
[2025-09-07 12:09:30] - Received 911 data points for 0.001317. Storing...
[2025-09-07 12:09:30] - Finished storing daily k-line data for 0.001317.
[2025-09-07 12:09:30] - Fetching daily k-line for 1.601598 (klt: 101)...
[2025-09-07 12:09:32] - Received 1610 data points for 1.601598. Storing...
[2025-09-07 12:09:32] - Finished storing daily k-line data for 1.601598.
[2025-09-07 12:09:32] - Fetching daily k-line for 1.603569 (klt: 101)...
[2025-09-07 12:09:37] - Received 2205 data points for 1.603569. Storing...
[2025-09-07 12:09:37] - Finished storing daily k-line data for 1.603569.
[2025-09-07 12:09:37] - Fetching daily k-line for 1.600704 (klt: 101)...
[2025-09-07 12:09:45] - Received 6835 data points for 1.600704. Storing...
[2025-09-07 12:09:46] - Finished storing daily k-line data for 1.600704.
[2025-09-07 12:09:46] - Fetching daily k-line for 0.300873 (klt: 101)...
[2025-09-07 12:09:47] - Received 1223 data points for 0.300873. Storing...
[2025-09-07 12:09:47] - Finished storing daily k-line data for 0.300873.
[2025-09-07 12:09:47] - Fetching daily k-line for 1.600603 (klt: 101)...
[2025-09-07 12:09:53] - Received 7690 data points for 1.600603. Storing...
[2025-09-07 12:09:53] - Finished storing daily k-line data for 1.600603.
[2025-09-07 12:09:53] - Fetching daily k-line for 1.603056 (klt: 101)...
[2025-09-07 12:09:59] - Received 1844 data points for 1.603056. Storing...
[2025-09-07 12:09:59] - Finished storing daily k-line data for 1.603056.
[2025-09-07 12:09:59] - Fetching daily k-line for 1.603535 (klt: 101)...
[2025-09-07 12:10:10] - Received 1964 data points for 1.603535. Storing...
[2025-09-07 12:10:10] - Finished storing daily k-line data for 1.603535.
[2025-09-07 12:10:10] - Fetching daily k-line for 0.001391 (klt: 101)...
[2025-09-07 12:10:11] - Received 168 data points for 0.001391. Storing...
[2025-09-07 12:10:11] - Finished storing daily k-line data for 0.001391.
[2025-09-07 12:10:11] - Fetching daily k-line for 0.002930 (klt: 101)...
[2025-09-07 12:10:17] - Received 1800 data points for 0.002930. Storing...
[2025-09-07 12:10:17] - Finished storing daily k-line data for 0.002930.
[2025-09-07 12:10:17] - Fetching daily k-line for 0.002769 (klt: 101)...
[2025-09-07 12:10:23] - Received 2453 data points for 0.002769. Storing...
[2025-09-07 12:10:23] - Finished storing daily k-line data for 0.002769.
[2025-09-07 12:10:23] - Fetching daily k-line for 1.603565 (klt: 101)...
[2025-09-07 12:10:24] - Received 1199 data points for 1.603565. Storing...
[2025-09-07 12:10:25] - Finished storing daily k-line data for 1.603565.
[2025-09-07 12:10:25] - Fetching daily k-line for 1.603329 (klt: 101)...
[2025-09-07 12:10:26] - Received 1860 data points for 1.603329. Storing...
[2025-09-07 12:10:27] - Finished storing daily k-line data for 1.603329.
[2025-09-07 12:10:27] - Fetching daily k-line for 1.600125 (klt: 101)...
[2025-09-07 12:10:33] - Received 6570 data points for 1.600125. Storing...
[2025-09-07 12:10:33] - Finished storing daily k-line data for 1.600125.
[2025-09-07 12:10:33] - Fetching daily k-line for 1.600180 (klt: 101)...
[2025-09-07 12:10:35] - Received 6156 data points for 1.600180. Storing...
[2025-09-07 12:10:36] - Finished storing daily k-line data for 1.600180.
[2025-09-07 12:10:36] - Fetching daily k-line for 0.000927 (klt: 101)...
[2025-09-07 12:10:38] - Received 6186 data points for 0.000927. Storing...
[2025-09-07 12:10:38] - Finished storing daily k-line data for 0.000927.
[2025-09-07 12:10:38] - Fetching daily k-line for 1.600794 (klt: 101)...
[2025-09-07 12:10:45] - Received 6649 data points for 1.600794. Storing...
[2025-09-07 12:10:46] - Finished storing daily k-line data for 1.600794.
[2025-09-07 12:10:46] - Fetching daily k-line for 1.601006 (klt: 101)...
[2025-09-07 12:10:53] - Received 4622 data points for 1.601006. Storing...
[2025-09-07 12:10:54] - Finished storing daily k-line data for 1.601006.
[2025-09-07 12:10:54] - Fetching daily k-line for 1.603648 (klt: 101)...
[2025-09-07 12:10:55] - Received 1938 data points for 1.603648. Storing...
[2025-09-07 12:10:55] - Finished storing daily k-line data for 1.603648.
[2025-09-07 12:10:55] - Fetching daily k-line for 0.000906 (klt: 101)...
[2025-09-07 12:11:04] - Received 6114 data points for 0.000906. Storing...
[2025-09-07 12:11:04] - Finished storing daily k-line data for 0.000906.
[2025-09-07 12:11:04] - Fetching daily k-line for 0.300013 (klt: 101)...
[2025-09-07 12:11:08] - Received 3669 data points for 0.300013. Storing...
[2025-09-07 12:11:09] - Finished storing daily k-line data for 0.300013.
[2025-09-07 12:11:09] - Fetching daily k-line for 0.002889 (klt: 101)...
[2025-09-07 12:11:10] - Received 1970 data points for 0.002889. Storing...
[2025-09-07 12:11:11] - Finished storing daily k-line data for 0.002889.
[2025-09-07 12:11:11] - Fetching daily k-line for 0.002120 (klt: 101)...
[2025-09-07 12:11:12] - Received 4374 data points for 0.002120. Storing...
[2025-09-07 12:11:13] - Finished storing daily k-line data for 0.002120.
[2025-09-07 12:11:13] - Fetching daily k-line for 0.002800 (klt: 101)...
[2025-09-07 12:11:15] - Received 2251 data points for 0.002800. Storing...
[2025-09-07 12:11:15] - Finished storing daily k-line data for 0.002800.
[2025-09-07 12:11:15] - Fetching daily k-line for 0.000557 (klt: 101)...
[2025-09-07 12:11:50] - Received 6031 data points for 0.000557. Storing...
[2025-09-07 12:11:51] - Finished storing daily k-line data for 0.000557.
[2025-09-07 12:11:51] - Fetching daily k-line for 0.002010 (klt: 101)...
[2025-09-07 12:11:54] - Received 4975 data points for 0.002010. Storing...
